3 ZA + 3 COOL  2025,,,,,,
,รายรับ,,,สรุป,,
รหัส,จำนวน,ราคา,,รวมรายรับ,"218,781.00",
D (3cool),214,"213,786.00",,รวมรายจ่าย,"202,167.98",
,,0.00,,คงเหลือ,"16,613.02",
,,0.00,,,,
,,0.00,,เปอร์เซนต์รายได้ต่อแอด,,
,,0.00,,รายได้ทั้งหมด,"218,781.00",68.90
,,0.00,,แอดทั้งหมด,"68,033.38",31.10
,,,,,,
,,,,แบ่งแล้วรวม,แบ่งแล้วแต่ละคน,ร้อยละของรายได้
,,,,"120,000","40,000.00",54.85
,,,,,,
,,,,,,
,รับจากเกอร์  3za,"4,995.00",,,,
,,,,,,
กรอกค่าแอด,รายจ่าย,,,,กรอกรายจ่ายอื่นๆ,
ว/ด/ป,รายการ,ราคา,ว/ด/ป,รายการ,ราคา,
1 เม.ย. 2025,ค่าแอด 24-31 มีค,"13,736.49",25 มี.ค. 2025,ทำภาพ แอด ปฏิทิน,200.00,
11 เม.ย. 2025,ค่าแอด 1-10 เมย,"20,293.42",1 เม.ย. 2025,"แบ่งคนละ 10,000","30,000.00",
11 เม.ย. 2025,จ้างยิง เมย,"3,000.00",11 เม.ย. 2025,ค่าของรางวัล+ค่าส่ง,"2,229.00",
21 เม.ย. 2025,ค่าแอด 11-20 เมย,"22,728.31",18 เม.ย. 2025,Zoom 1 เดือน,"4,012.50",
24 เม.ย. 2025,ค่าแอด 21-23,"8,275.16",21 เม.ย. 2025,"แบ่งคนละ 30,000","90,000.00",
,,,21 เม.ย. 2025,ค่ารางวัลห้องทั่วไป,523.00,
,,,24 เม.ย. 2025,จ้างทำ Congrat ห้องทั่วไป,"2,200.00",ทริป 200
,,,24 เม.ย. 2025,ค่าส่งของรางวัล,377.00,
,,,24 เม.ย. 2025,ภาษี 0-218781,"4,593.10",2.10%
