3 ZA + 3 COOL  2025,,,,,,
,รายรับ,,,สรุป,,
รหัส,จำนวน,ราคา,,รวมรายรับ,"1,151,841.91",
1A,284,"283,716.00",,รวมรายจ่าย,"1,151,030.28",
1B,365,"364,635.00",,คงเหลือ,811.63,
1C,70,"125,300.00",,,,
4A,135,"134,865.00",,เปอร์เซนต์รายได้ต่อแอด,,
4B,174,"173,826.00",,รายได้ทั้งหมด,"1,151,841.91",83.36
4C,29,"51,910.00",,แอดทั้งหมด,"191,686.64",16.64
D (3cool),,,,,,
,,,,แบ่งแล้วรวม,แบ่งแล้วแต่ละคน,ร้อยละของรายได้
,,,,"826,957","275,562.00",71.79
,,"14,900.00",,,,
,ยอดเดิมของเกอร์,"1,617.18",,,,
,ยอดรับมา ออมมี่,"1,072.73",,,,
,,,,,,
กรอกค่าแอด,รายจ่าย,,,,กรอกรายจ่ายอื่นๆ,
ว/ด/ป,รายการ,ราคา,ว/ด/ป,รายการ,ราคา,
11 ม.ค. 2025,5-10 มค ค่าAds,"5,943.34",14 ม.ค. 2025,จ้างทำภาพ รีวิว,800.00,
11 ม.ค. 2025,11-20 มค ค่า ads,"16,330.34",20 ม.ค. 2025,แบ่งเงิน คนละ 15k,"45,000.00",
1 ก.พ. 2025,21-31 มค ค่าแอด,"19,898.85",24 ม.ค. 2025,จ้างทำใบปลิว Canva,200.00,
11 ก.พ. 2025,1-10 กพ ค่าแอด,"20,406.40",10 ก.พ. 2025,ค่ารางวัลรีวิว 3zeed,"1,566.00",
11 ก.พ. 2025,จ้างยิง 2 เดือน,"6,000.00",1 ก.พ. 2025,แบ่งคนละ 20000,"60,000.00",
21 ก.พ. 2025,11-20 กพ 68,"21,691.53",11 ก.พ. 2025,"แบ่งคนละ 10,000","30,000.00",
1 มี.ค. 2025,แอด 21-28 กพ,"19,697.74",11 ก.พ. 2025,ภาษี แสนที่1-2,"4,200.00",
10 มี.ค. 2025,แอด 1-9 มีค,"27,647.97",11 ก.พ. 2025,Poster 3SA ห้องทั่วไป,500.00,
16 มี.ค. 2025,ค่าจ้างยิงแอด,"3,000.00",20 ก.พ. 2025,"แบ่งคนละ 30,000","90,000.00",
21 มี.ค. 2025,ค่าแอด 10-20 มีค,"36,087.06",1 มี.ค. 2025,ภาษี แสนที่ 3-4,"4,200.00",
24 มี.ค. 2025,ค่าแอด 21-23 มีค,"14,983.41",1 มี.ค. 2025,สมัคร zoom 2 ac,"8,025.00",
,,,1 มี.ค. 2025,"แบ่งคนละ 30,000","90,000.00",
,,,4 มี.ค. 2025,"แบ่งคนละ 30,000","90,000.00",
,,,4 มี.ค. 2025,ทำปฏิทินห้องทั่วไป ,500.00,
,,,10 มี.ค. 2025,หักภาษี แสนที่ 5-6,"4,200.00",
,,,10 มี.ค. 2025,"แบ่งคนละ 40,000","120,000.00",
,,,15 มี.ค. 2025,ทำโปสเตอร์ห้องทั่วไป ,200.00,
,,,19 มี.ค. 2025,VDO +ภาพ 3cool,400.00,
,,,21 มี.ค. 2025,ภาษีแสนที่ 7-10,"8,400.00",
,,,21 มี.ค. 2025,"แบ่งคนละ 110,000","330,000.00",
,,,23 มี.ค. 2025,ค่าทำโปสเตอร์ congrats 4 เพจ,"2,000.00",
,,,24 มี.ค. 2025,ภาษีแสนที่ 11,"2,200.00",
,,,24 มี.ค. 2025,ส่วนแบ่ง,"61,957.64",
,,,25 มี.ค. 2025,โอนคืน 4-3sa + 1-3cool,"4,995.00",
,,,,,,
,,,"จ่ายภาษี 17,567",,,
,,,"คงเหลือภาษี 22,705.65 - 17,567",,เหลือ,
,,,,,"5,138.65",
,,,,,,
,"1,146,157,53",,"📣เคลียยอด 3ZA 2025 ✅✅

เริ่มยิงแอด 5 ม.ค. 2568
รายได้ทั้งหมด (ข้อมูลวันที่ 23/มีค/68)
= 1,146,157,53 บาท

มีรายการหักดังนี้ 
1. หักภาษีแสนที่ 11 เป็นเงิน 24,200 บ.
2. จ่ายค่าแอด เป็นเงิน 191,686.64 บ.
3. ส่วนแบ่งครู เป็นเงิน  765,000 บ
(คนละ 255,000 บ)
4. อื่นๆ
5. โอนคงเหลือรอบสุดท้าย 61,957.64


#สถานะบัญชีปัจจุบันเหลือ 0 บาท
ปิดบัญชี ณ วันที่ 24 มี.ค. 2568",,,
