STA69,,,,,,
,รายรับ,,,สรุป,,
รหัส,จำนวน,ราคา,,รวมรายรับ,"444,412.67",
3ZAP  P,26,"51,740.00",,รวมรายจ่าย,"441,452.73",
Combo X,28,"100,520.00",,คงเหลือ,"2,959.94",
3 ZEED G,138,"274,620.00",,,,
ซื้อหนังสือ3zeed,1,199.00,,เปอร์เซนต์รายได้ต่อแอด,,
,,0.00,,รายได้ทั้งหมด,"444,412.67",64.92
ค่าหนังสือ(ซื้อเพิ่ม),3,450.00,,แอดทั้งหมด,"155,881.06",35.08
ดอกเบี้ยเงินฝาก,,38.55,,,,
,,,,แบ่งแล้วรวม,แบ่งแล้วแต่ละคน,ร้อยละของรายได้
,,,,"222,000","74,000.00",49.95
,,,,,,
,,,,หนังสือทั้งหมด,ส่งแล้ว,เหลือ
,รับจาก 3cool68,"16,845.12",3zap,100,54,46
,,,3zeed,50,19,31
ค่าแอด+จ้างยิง,รายจ่าย,,,,กรอกรายจ่ายอื่นๆ,
ว/ด/ป,รายการ,ราคา,ว/ด/ป,รายการ,ราคา,หมายเหตุ
21 มิ.ย. 2025,ค่าแอด 13-20 มิย,"14,532.00",13/มิ.ย./68,คลิป/โปสเตอร์ to the star 2025,"1,200.00",ทริป 200
9 ก.ค. 2025,ค่าแอด 21-30 มิย,"19,868.00",30 มิย 2025,หนังสือzap+zeed อย่างละ 100 เล่ม,"20,009.00",
11 กค 2025,ค่าแอด 1-10 กค,"11,673.00",30 มิย 2025,ค่าส่งหนังสือจากโรงงาน (6กล่อง),870.00,
21 กค 2025,ค่าแอด 11-20 กค,"14,426.00",4 กค 2025,ค่าส่งรอบ 1,660.00,14 บ้าน
1 สค 2025,ค่าแอด 21-31 กค,"15,771.00",4 กค 2025,ซองกระดาษ + พลาสติกห่อ ,70.00,บ้านละ 5 บาท
11 กย 2025,ค่าแอด 4-10 กย ,"4,816.40",13 ก.ค. 2025,ค่าส่งรอบ 2,443.00,11 บ้าน
21 กย 2025,ค่าแอด 11-20 กย,"5,103.90",13 ก.ค. 2025,ซองกระดาษ + พลาสติกห่อ ,55.00,บ้านละ 5 บาท
1 ตต 2025,ค่าแอด 21-30 กย,"5,617.50",18 ก.ค. 2025,ค่ายิงแอด (น้องบอล),"3,000.00",
11 ตค 2025,ค่าแอด 1-10 ตค,"6,287.16",18 ก.ค. 2025,ทริป น้องทำปกหนังสือ,200.00,
21ตค 2025,ค่าแอด 11-20 ตค,"14,519.90",19 ก.ค. 2025,ค่าส่งรอบ 3,151.00,5 บ้าน 
1 พย 2025,ค่าแอด 21-31 พย,"16,039.30",19 ก.ค.2025,ค่าส่งรอบ 4,215.00,5 บ้าน
11 พย 2025,ค่าแอด 1-10 พย,"17,087.90",19 ก.ค. 2025,ซองกระดาษ + พลาสติกห่อ ,45.00,รอบ 3+4
18 พย 2025,ค่าแอด 11-17 พย,"10,139.00",21 กค 2025,"แบ่งคนละ 10,000","30,000.00",
,,,1 สค 2025,ค่าส่งรอบ 5+6,443.00,13 บ้าน
,,,1 สค 2025,ค่าส่งรอบ 7,,3 บ้าน
,,,1 สค 2025,ซองกระดาษ + พลาสติกห่อ 5-7,85.00,บ้านละ 5 บาท
,,,21 สค 68,ค่าทำ VDO ,"1,200.00",
,,,8 กย 68,ค่าทำภาพ ads,400.00,
,,,11 กย 68,"แบ่งคนละ 10,000","30,000.00",
,,,8 ตค 68,ค่ายิงแอด (น้องบอล),"3,000.00",
,,,9/10/2025,ค่าส่ง 3zeed รอบ 1,529.00,รวมซอง
,,,9/10/2025,ค่าส่ง 3zeed รอบ 2,634.00,รวมซอง
,,,9/10/2025,ค่าของรางวัล,872.00,
,,,9/10/2025,ค่าส่ง + ค่ากล่องของรางวัล+ส่งรอบ3,492.00,ถึง G42
,,,9/10/2025,"แบ่งคนละ 10,000","30,000.00",
,,,9/10/2025,ค่าชุดถ่ายแอด,"1,658.50",
,,,20/ตค/2025,mars moon,"1,380.00",
,,,20/ตค/2025,ความทรงจำคาเฟ่,725.00,
,,,29/ตค/2025,ค่าส่ง 3zeed รอบ 4,477.00,ถึง G64
,,,1 พ.ย. 2025,ค่าส่งรอบ 5+6,184.00,ถึง G68
,,,1 พ.ย. 2025,"แบ่่งคนละ 18,000","54,000.00",
,,,8 พ.ย. 2025,หนังสือ30 + ส่ง +ซอง,"4,655.00",ร้านเพิ่มพูล
,,,8 พ.ย. 2025,หนังสือเพิ่มเติม 6 เล่ม +ส่ง+ซอง,888.00,ร้้านเพิ่มพูล
,,,12 พ.ย. 2025,หนังสือ 50 เล่ม,"4,409.50",ร้านพี่ตี๋
,,,12 พ.ย. 2025,ค่าส่งหนังสือ (G105-G120),526.00,
,,,10 พ.ย. 2025,กราฟฟิกโปรเจคยานแม่,600.00,
,,,13 พ.ย. 2025,ค่ายิงแอด (น้องบอล),"3,000.00",
,,,13 พ.ย. 2025,"แบ่งคนละ 20,000","60,000.00",
,,,13 ธ.ค. 2025,โปสเตอร์ 3 za,200.00,
,,,21 ธ.ค. 2025,รางวัล (MM กล่องสุ่ม)+ค่าส่ง,963.00,648/315
,,,21 ธ.ค. 2025,Vat ,"9,332.67",2.10%
,,,21 ธ.ค. 2025,แบ่งคนละ 6000,"18,000.00",
